name, URL
compat-bob-alice, https://lh4.googleusercontent.com/FE8JqXJwtq_Q6bXv6MP_rkrIqNUNpBiHy-ghHUF0BLhO0xWf4M2dTd3FensnhWaYNtriDR06_DFjFG3MBO_gqI7JOrHpvDfuY8xdvQxblD1psb3A5N_X1CrPC_KQDXSdfIUWBi7E
abby-ben, https://lh6.googleusercontent.com/t86U9ol8intRPLbfZHGyvPSZ5RlnJwMKnM-17BEzz3mTNBoHfofrYVlw1rTrk26VJT4gvzzTNS5I0YrfMlSRiRLUpS3FrNN6Zrl9XOnv-ro5kWhyv0nLUERfwLz3c8U1y5GuYbED
mixed, https://lh6.googleusercontent.com/bRFoXuBuBUJlf_si3SoSx4QY4QGDFJFS7iVESr-H1K3IBQaolKUxs4N5mS-B6XyUY1yEqFhDx763iGLIAHgoK-PzC_NeO-QxPdvEgTON0YnHryorzzKWS0BK-Kr2rjepSEXiD6MK
two-cycle, https://lh6.googleusercontent.com/bRFoXuBuBUJlf_si3SoSx4QY4QGDFJFS7iVESr-H1K3IBQaolKUxs4N5mS-B6XyUY1yEqFhDx763iGLIAHgoK-PzC_NeO-QxPdvEgTON0YnHryorzzKWS0BK-Kr2rjepSEXiD6MK
